Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Labels
3.212854917,-0.2348072968,-0.08810653981,-0.3442758715,0.4259379118,freestyle
3.222891917,-0.2214031762,-0.08905220817,-0.4645349711,0.5222474524,freestyle
3.232929917,-0.1874895081,-0.1271842221,-0.5459147644,0.5910592796,freestyle
3.242966917,-0.09303431734,-0.0998419199,-0.5316405416,0.5488765422,freestyle
3.253003917,-0.01552720807,-0.05857237689,-0.4648764485,0.4688090548,freestyle
3.263041917,-0.01289808065,-0.0005657272507,-0.3669209683,0.3671480321,freestyle
3.273078917,-0.05749691404,0.0375279691,-0.2202996969,0.2307513815,freestyle
3.283115917,-0.1371446159,0.09255437057,-0.08858239353,0.1876747123,freestyle
3.293153917,-0.2504642399,0.1249304585,-0.03676904619,0.2822975694,freestyle
3.303190917,-0.3835587088,0.1144772997,0.0516279906,0.4035935885,freestyle
3.313227917,-0.4423372594,0.05822382345,0.1433222723,0.4686080862,freestyle
3.323265917,-0.4178554791,-0.01573451928,0.2123919225,0.4690001122,freestyle
3.333302917,-0.2925817343,-0.01997644583,0.2375934219,0.3774304754,freestyle
